season,weather,temp,humidity,windspeed,casual,count,day,month,year,weekday,am_or_pm,holidays,lag1,lag2,lag3,rolling_3,rolling_6,is_peak,weekend_bad_weather
3,2,7.653428306022466,122.4308846941611,18.78370259462514,5,315.73177772676775,1,1,2011,0,0,0,,,,,,0,0
4,3,13.269243731105728,101.70380200682938,14.035244796085728,36,340.4570929642544,1,1,2011,0,0,0,315.73177772676775,,,,,0,0
3,1,10.463376705467018,114.92567065504612,25.3471677841029,6,132.16954945773406,1,1,2011,0,0,0,224.27859468934304,340.4570929642544,315.73177772676775,232.3017457037772,,0,0
3,4,30.214782565112404,149.19359215302222,20.28898166364012,14,315.86713728160487,1,1,2011,0,0,0,132.16954945773406,224.27859468934304,340.4570929642544,224.10509380956069,,0,0
4,1,7.3205877148755025,114.29326826409644,28.498987905385828,20,103.66436782546523,1,1,2011,0,0,0,315.86713728160487,132.16954945773406,224.27859468934304,183.90035152160135,238.6947533241949,0,0
3,4,6.120887631506779,142.34043879954763,19.98907136617938,12,180.6431717430795,1,1,2011,0,0,0,181.63908948186807,293.5913105077834,333.1396443041833,218.6245239109103,240.2199352407896,0,0
1,4,21.62200886617755,110.71203364486308,20.217068847675083,41,127.14458213033066,1,1,2011,0,1,0,252.3216451635836,190.2015076577594,269.4423451046654,189.8892449838912,182.5653234050816,0,0
4,1,26.76669378664042,119.2649977699372,30.5215356099225,44,254.7722752359694,1,1,2011,0,1,0,127.14458213033066,252.3216451635836,190.2015076577594,211.4128341766279,194.92017398723,0,0
4,2,21.547851987324528,123.43913282054388,18.323448472797136,0,157.049025564652,1,1,2011,0,1,0,223.98669670087412,254.7722752359694,127.14458213033066,211.9359991671652,200.91262207552825,1,0
4,3,4.2197661300824345,72.57263135235803,19.730753372352773,44,254.0359620609273,2,1,2011,0,0,0,154.43198353642103,309.89680317609043,99.34594414311076,239.45491625781293,226.5208157423636,0,0
2,1,24.9061485150106,146.31089768266366,20.525256771747863,6,236.594362673464,2,1,2011,0,0,0,254.0359620609273,154.43198353642103,309.89680317609043,215.0207694236041,209.9521750669986,0,0
4,4,29.73034092894516,114.35338851831142,12.519018501066018,49,275.4972832828948,2,1,2011,0,0,0,205.96073384422783,209.3428428765272,236.594362673464,230.26695333454995,222.64386137907704,0,0
4,2,6.884002361789061,104.79252974287786,26.003300740622453,4,253.07902634370987,2,1,2011,0,0,0,275.4972832828948,205.96073384422783,209.3428428765272,244.84568115694412,239.08503518029184,0,0
1,4,7.159748133735641,107.57238337112577,28.890276838684294,28,228.1134818356801,2,1,2011,0,0,0,253.07902634370987,275.4972832828948,205.96073384422783,252.22993048742828,234.7646218094173,0,0
4,3,23.43770972734193,78.32581379979983,30.303231473612456,47,181.1692697718561,2,1,2011,0,0,0,251.60044048470044,228.1134818356801,253.07902634370987,220.2943973640789,232.57003926051152,1,0
4,1,14.970037393177492,127.6330831420794,30.32053397165329,41,136.5089974071503,2,1,2011,0,1,0,236.33538557876471,173.60418022366997,285.36961171292216,182.1495210698617,204.9663958537155,0,0
4,4,10.614218610961064,144.85661753023962,17.41984964682971,27,188.1392285904645,2,1,2011,0,1,0,136.5089974071503,236.33538557876471,173.60418022366997,186.99453719212656,200.36103935461296,0,0
3,2,33.066744559470074,102.58986733930564,19.810317703360084,1,184.495220690909,3,1,2011,1,0,0,259.8922048873965,191.38996389740325,247.6156135302815,211.92579649190293,201.34020483393417,0,0
2,1,10.46418194122107,73.98140444175297,29.61602571132058,37,339.643191053569,3,1,2011,1,0,0,184.495220690909,259.8922048873965,191.38996389740325,261.3435388772915,235.195903775004,0,0
3,1,26.043654595020747,107.21026222957472,22.301436460171445,16,219.88735138296,3,1,2011,1,0,0,168.13645626576954,198.682242408324,339.643191053569,195.5686833523512,228.4561111148213,0,0
4,4,27.02998526579662,118.60340035199717,22.173846182368514,11,203.8786148284393,3,1,2011,1,0,0,219.88735138296,168.13645626576954,198.682242408324,197.3008074923896,219.1205127716618,1,1
1,1,14.310538911713692,88.92108357815613,30.789722597589584,48,348.17620541458206,3,1,2011,1,0,0,169.52486907706083,203.8786148284393,219.88735138296,240.52656310669408,218.04762322952263,1,0
